,Player,Nation,Pos,Squad,Comp,Age,Born,90s,MP,Starts,Min,Dribblers_Tackle_W%,Tackles_per90,Tackles_Won_per90,Tackles_Def_3rd_per90,Tackles_Mid_3rd_per90,Tackles_Att_3rd_per90,Dribblers_Tackled_per90,Dribblers_Challenged_per90,Dribblers_Tackle_Lost_per90,Blocks_per90,Shots_Blocked_per90,Passes_Blocked_Def_per90,Interceptions_per90,Tackles+Interceptions_per90,Clearances_per90,Errors_Shots_per90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per90,Pass_Dead_Shot_per90,Take_Ons_Shot_per90,Shot-Shot_per90,Fouls_drawn_Shot_per90,Defensive_Shot_per90,Pass_Live_Goal_per90,Pass_Dead_Goal_per90,Take_Ons_Goal_per90,Shot_Goal_per90,Fouls_Drawn_Goal_per90,Defensive_Goal_per90,Passes_Total_Cmp%,Passes_Short_Cmp%,Passes_Medium_Cmp%,Passes_Long_Cmp%,Passes_Total_Cmp_per90,Passes_Total_Att_per90,Passes_TotDist_per90,Passes_PrgDist_per90,Passes_Short_Cmp_per90,Passes_Short_Att_per90,Passes_Medium_Cmp_per90,Passes_Medium_Att_per90,Passes_Long_Cmp_per90,Passes_Long_Att_per90,Assists_per90,xAG_per90_x,xA_per90,A-xAG_per90,Key_Passes_per90,Passes_1/3_per90,Passes_Penalty_Area_per90,Crosses_Penalty_Area_per90,Progressive_Passes_per90,Passes_Attempted_per90,Live_Ball_Passes_per90,Dead_Ball_Passes_per90,Free_Kick_Passes_per90,Through_Balls_per90,Switches_per90,Crosses_per90,Throw_Ins_Taken_per90,Corner_Kicks_per90,In_Corner_Kicks_per90,Out_Corner_Kicks_per90,Str_Corner_Kicks_per90,Passes_Cmp_per90,Passes_Offside_per90,Passes_Blocked_Off_per90,PK,PK_Attempted,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90_y,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Yellow_per90,Red_per90,Prg_Carries_per90,Prg_Passes_per90,Prg_Passes_Received_per90,Take_Ons_Succ%,Tackled_Take_Ons%,Touches_per90,Touches_Def_Pen_per90,Touches_Def_3rd_per90,Touches_Mid_3rd_per90,Touches_Att_3rd_per90,Touches_Att_Pen_per90,Tocuhes_Live_Balls_per90,Take_Ons_Attempted_per90,Take_Ons_Succ_per90,Tackled_Take_Ons_per90,Carries_per90,Total_Distance_per90,Progressive_Distance_Carried_per90,Progressive_Carries_per90,1/3_Carries_per90,Carries_Penalty_Area_per90,Miscontrols_per90,Dispossessed_per90,Passes_Received_per90,Progressive_Passes_Received_per90,Shots_on_target_%,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Average_shot_distance,Shots_free_kicks,Pens_Scored,Pens_Attempted,XG,Npxg,Npxg_per_shot,Xg_net,Npxg_net,Main_Pos,Secondary_Pos,Total_90s
0,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,eng Premier League,23,1997,19.9,20,20,1793,70.0,2.46,1.81,1.26,0.9,0.3,0.7,1.01,0.3,1.21,0.7,0.5,1.71,4.17,2.06,0.1,1.76,0.05,1.46,0.0,0.15,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,81.1,91.0,83.1,53.7,46.48,57.34,625.58,203.42,30.05,33.02,12.81,15.43,1.81,3.37,0.0,0.05,0.05,-0.05,0.7,2.61,0.6,0.4,3.07,57.34,48.64,8.59,0.2,0.0,0.3,1.76,8.39,0.0,0.0,0.0,0.0,46.48,0.1,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,0.1,0.0,2.76,3.07,4.52,59.0,41.0,68.59,3.77,22.81,28.39,18.39,1.41,68.59,3.07,1.81,1.26,35.98,205.43,107.09,2.76,2.06,0.4,1.16,0.65,40.95,4.52,20.0,0.25,0.05,0.0,0.0,14.1,0,0,0,0.3,0.3,0.07,-0.3,-0.3,DF,None,19.9
1,Aarón Martín,es ESP,DF,Mainz 05,de Bundesliga,24,1997,25.5,28,25,2292,43.6,2.12,1.29,1.25,0.71,0.16,0.94,2.16,1.22,0.94,0.16,0.78,0.78,2.9,1.37,0.0,2.67,0.12,1.45,1.02,0.0,0.12,0.04,0.04,0.04,0.08,0.0,0.0,0.0,0.0,68.2,88.3,75.3,38.2,30.12,44.16,535.02,204.71,14.78,16.75,10.75,14.27,4.08,10.67,0.04,0.2,0.19,-0.16,1.8,2.24,1.14,0.67,2.71,44.16,34.2,9.76,1.06,0.04,0.16,7.06,4.94,3.76,2.08,1.37,0.0,30.12,0.2,0.94,0.0,0.0,0.04,0.08,0.04,0.08,0.04,0.19,0.23,0.04,0.23,0.27,0.0,1.25,2.71,3.41,63.6,36.4,52.67,1.53,13.06,23.8,16.16,0.75,52.67,1.73,1.1,0.63,25.33,123.96,56.59,1.25,0.94,0.04,1.29,0.59,27.84,3.41,27.8,0.71,0.2,0.06,0.2,21.5,5,0,0,1.0,1.0,0.05,0.0,0.0,DF,None,25.5
2,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,28,1993,28.2,30,29,2537,45.1,2.66,1.52,1.06,1.31,0.28,1.13,2.52,1.38,1.17,0.28,0.89,0.99,3.65,1.13,0.0,2.02,0.25,1.77,0.0,0.11,0.11,0.0,0.04,0.18,0.0,0.04,0.04,0.0,0.0,78.8,84.3,84.3,62.5,30.64,38.9,452.87,108.44,17.38,20.6,10.5,12.45,1.6,2.55,0.14,0.07,0.05,0.07,0.67,2.87,0.67,0.0,4.01,38.9,38.23,0.6,0.39,0.11,0.11,0.39,0.04,0.0,0.0,0.0,0.0,30.64,0.07,1.13,0.0,0.0,0.07,0.21,0.07,0.21,0.08,0.07,0.15,0.08,0.15,0.21,0.0,1.17,4.01,1.91,51.2,48.8,49.29,2.23,11.67,26.42,12.02,1.56,49.29,1.45,0.74,0.71,24.61,124.11,62.77,1.17,0.99,0.21,1.52,0.78,27.09,1.91,32.4,1.21,0.39,0.06,0.18,17.9,0,0,0,2.2,2.2,0.06,-0.2,-0.2,MF,None,28.2
3,Achraf Hakimi,ma MAR,DF,Paris S-G,fr Ligue 1,22,1998,27.5,32,28,2479,55.6,2.69,1.85,1.38,0.98,0.33,1.45,2.62,1.16,0.95,0.18,0.76,1.02,3.71,0.84,0.07,1.89,0.33,1.53,0.04,0.18,0.07,0.0,0.07,0.29,0.0,0.04,0.0,0.0,0.0,88.9,93.1,89.5,76.3,59.13,66.55,805.16,208.07,36.04,38.69,18.36,20.51,1.64,2.15,0.22,0.15,0.18,0.07,1.13,2.22,1.24,0.25,3.6,66.55,58.87,7.56,0.95,0.04,0.11,1.89,6.55,0.07,0.0,0.0,0.0,59.13,0.11,1.16,0.0,0.0,0.15,0.36,0.15,0.36,0.09,0.15,0.24,0.09,0.24,0.11,0.04,2.58,3.6,10.69,39.6,60.4,75.93,2.15,18.87,30.29,27.27,2.91,75.93,1.93,0.76,1.16,49.31,222.29,125.24,2.58,1.89,0.62,1.16,0.51,55.16,10.69,50.0,0.73,0.36,0.2,0.4,15.9,0,0,0,2.5,2.5,0.13,1.5,1.5,DF,None,27.5
4,Adam Marušić,me MNE,DF,Lazio,it Serie A,28,1992,30.2,33,30,2721,40.6,0.99,0.6,0.53,0.4,0.07,0.43,1.06,0.63,0.63,0.26,0.36,1.36,2.35,2.35,0.0,0.89,0.13,0.76,0.07,0.03,0.0,0.03,0.0,0.1,0.0,0.03,0.0,0.0,0.0,87.4,93.4,85.9,62.9,54.64,62.48,792.12,273.77,31.03,33.21,18.38,21.39,2.58,4.11,0.0,0.02,0.02,-0.02,0.26,3.84,0.33,0.1,3.68,62.48,54.47,7.91,1.09,0.0,0.13,0.96,6.82,0.0,0.0,0.0,0.0,54.64,0.1,0.56,0.0,0.0,0.03,0.03,0.03,0.03,0.01,0.02,0.02,0.01,0.02,0.2,0.03,1.72,3.68,2.42,56.0,44.0,70.2,3.84,24.4,35.23,11.03,0.5,70.2,0.83,0.46,0.36,38.84,155.1,75.83,1.72,0.89,0.2,0.63,0.53,45.86,2.42,37.5,0.26,0.1,0.13,0.33,25.5,0,0,0,0.2,0.2,0.02,0.8,0.8,DF,None,30.2
5,Adam Webster,eng ENG,DF,Brighton,eng Premier League,26,1995,15.9,22,16,1434,65.0,1.64,0.5,1.07,0.44,0.13,0.82,1.26,0.44,1.57,1.07,0.5,1.07,2.7,4.15,0.13,1.13,0.19,1.07,0.0,0.0,0.06,0.0,0.0,0.13,0.0,0.0,0.06,0.0,0.0,80.8,87.7,87.2,54.8,59.75,73.96,1143.52,461.89,19.37,22.08,32.2,36.92,6.48,11.82,0.0,0.0,0.02,0.0,0.06,6.54,0.06,0.0,6.86,73.96,71.45,2.45,1.38,0.19,1.01,0.38,1.07,0.0,0.0,0.0,0.0,59.75,0.06,0.44,0.0,0.0,0.13,0.13,0.13,0.13,0.06,0.0,0.06,0.06,0.06,0.31,0.0,1.19,6.86,0.44,83.3,16.7,83.21,7.55,36.6,41.57,5.53,0.82,83.21,0.75,0.63,0.13,47.99,263.96,168.3,1.19,1.32,0.06,0.5,0.06,57.04,0.44,25.0,0.5,0.13,0.25,1.0,11.2,0,0,0,0.9,0.9,0.13,1.1,1.1,DF,None,15.9
6,Ademola Lookman,ng NGA,"FW,MF",Leicester City,eng Premier League,23,1997,16.1,26,16,1453,35.7,1.99,0.87,0.62,0.81,0.56,0.62,1.74,1.12,1.18,0.06,1.12,0.62,2.61,0.25,0.0,2.85,0.19,2.17,0.06,0.25,0.19,0.19,0.0,0.12,0.0,0.0,0.0,0.06,0.0,75.6,83.1,83.1,38.1,25.16,33.29,318.26,81.12,16.15,19.44,7.02,8.45,0.5,1.3,0.0,0.12,0.11,-0.12,1.43,1.18,1.24,0.06,3.35,33.29,31.68,1.3,0.31,0.19,0.06,1.12,0.37,0.25,0.12,0.06,0.0,25.16,0.31,1.61,0.0,0.0,0.37,0.37,0.37,0.37,0.28,0.11,0.4,0.28,0.4,0.12,0.0,2.67,3.35,8.63,65.5,34.5,46.89,0.43,5.78,20.31,21.43,5.47,46.89,3.6,2.36,1.24,31.12,166.46,79.38,2.67,1.61,1.49,3.66,3.23,34.66,8.63,46.2,1.61,0.74,0.23,0.5,15.0,0,0,0,4.5,4.5,0.17,1.5,1.5,FW,MF,16.1
7,Adri Embarba,es ESP,"FW,MF",Espanyol,es La Liga,29,1992,22.1,32,24,1986,37.7,1.99,1.31,1.0,0.68,0.32,1.18,3.12,1.95,1.58,0.14,1.45,0.86,2.85,1.36,0.0,4.17,0.27,1.99,1.18,0.41,0.23,0.27,0.09,0.09,0.14,0.0,0.05,0.0,0.0,60.6,79.7,62.4,32.3,21.45,35.38,344.16,104.07,11.54,14.48,6.24,10.0,2.35,7.29,0.09,0.11,0.14,-0.02,1.67,0.9,1.0,0.5,2.44,35.38,28.1,6.97,1.72,0.0,0.27,8.69,0.32,4.93,1.72,1.95,0.05,21.45,0.32,0.9,0.0,0.0,0.0,0.09,0.0,0.09,0.13,0.12,0.24,0.13,0.24,0.18,0.0,3.39,2.44,6.06,51.3,48.8,49.73,1.58,8.64,16.38,25.48,2.08,49.73,3.62,1.86,1.76,25.43,170.18,81.67,3.39,2.22,0.77,2.53,1.72,28.73,6.06,32.7,2.22,0.73,0.0,0.0,23.1,15,0,0,2.8,2.8,0.06,-2.8,-2.8,FW,MF,22.1
8,Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,26,1995,25.4,32,28,2285,44.1,2.52,1.69,1.26,0.94,0.31,0.59,1.34,0.75,1.34,0.31,1.02,0.79,3.31,1.61,0.04,1.77,0.12,1.38,0.0,0.2,0.12,0.08,0.0,0.12,0.0,0.0,0.0,0.0,0.0,81.9,85.8,86.1,72.0,33.94,41.46,530.47,141.18,17.17,20.0,13.39,15.55,2.13,2.95,0.08,0.07,0.08,0.01,0.83,2.83,0.63,0.12,3.9,41.46,40.35,1.06,0.71,0.0,0.12,0.98,0.35,0.0,0.0,0.0,0.0,33.94,0.04,0.91,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.07,0.15,0.08,0.15,0.2,0.0,2.56,3.9,3.23,77.2,22.8,52.44,2.91,13.27,27.01,12.99,2.13,52.44,2.24,1.73,0.51,29.29,188.07,93.7,2.56,1.46,0.47,1.5,0.94,34.45,3.23,26.9,1.02,0.28,0.0,0.0,17.2,0,0,0,2.1,2.1,0.08,-2.1,-2.1,MF,None,25.4
9,Adrien Tameze,cm CMR,"MF,DF",Hellas Verona,it Serie A,27,1994,28.6,38,26,2574,33.9,1.82,1.01,0.84,0.73,0.24,0.7,2.06,1.36,1.4,0.17,1.22,1.82,3.64,1.43,0.0,2.2,0.21,1.82,0.03,0.17,0.03,0.03,0.1,0.17,0.0,0.03,0.0,0.0,0.0,79.4,85.4,83.9,62.8,35.94,45.28,587.48,195.1,17.97,21.05,13.64,16.26,3.01,4.79,0.07,0.07,0.06,0.0,0.98,3.78,0.77,0.21,4.69,45.28,42.55,2.59,1.15,0.1,0.35,1.08,1.43,0.0,0.0,0.0,0.0,35.94,0.14,0.7,0.0,0.0,0.14,0.21,0.14,0.21,0.04,0.07,0.11,0.04,0.11,0.14,0.0,1.92,4.69,3.36,56.7,43.3,57.13,2.76,13.43,31.78,12.73,1.47,57.13,2.1,1.19,0.91,30.35,161.92,81.01,1.92,1.15,0.35,1.78,0.91,32.52,3.36,30.4,0.8,0.24,0.17,0.57,21.5,0,0,0,1.2,1.2,0.05,2.8,2.8,MF,DF,28.6
10,Adrien Thomasson,fr FRA,MF,Strasbourg,fr Ligue 1,27,1993,26.5,31,27,2389,32.3,2.42,1.17,0.68,1.02,0.72,1.13,3.51,2.38,2.11,0.15,1.96,1.09,3.51,0.6,0.04,3.35,0.49,2.49,0.15,0.23,0.19,0.23,0.08,0.38,0.0,0.04,0.08,0.0,0.0,75.9,82.7,82.5,59.2,37.4,49.25,601.92,148.75,18.6,22.49,14.19,17.21,2.91,4.91,0.15,0.12,0.17,0.03,1.25,3.81,1.51,0.34,5.7,49.25,47.25,1.7,0.6,0.34,0.11,2.15,0.53,0.23,0.04,0.04,0.0,37.4,0.3,1.47,0.0,0.0,0.3,0.45,0.3,0.45,0.23,0.13,0.36,0.23,0.36,0.08,0.04,1.62,5.7,6.3,56.4,43.6,63.09,0.98,8.91,30.53,24.23,4.42,63.09,2.08,1.17,0.91,36.83,171.43,66.19,1.62,1.58,0.49,2.34,1.28,41.74,6.3,39.6,1.81,0.72,0.17,0.42,16.3,0,0,0,6.2,6.2,0.13,1.8,1.8,MF,None,26.5
11,Adrien Truffert,fr FRA,DF,Rennes,fr Ligue 1,19,2001,18.2,30,18,1639,45.8,1.59,1.15,0.93,0.49,0.16,0.6,1.32,0.71,1.37,0.27,1.1,1.04,2.64,1.65,0.0,2.03,0.38,1.7,0.0,0.05,0.11,0.16,0.0,0.27,0.0,0.0,0.05,0.05,0.0,81.2,89.6,82.1,61.5,51.54,63.46,810.0,228.74,26.98,30.11,19.62,23.9,3.24,5.27,0.11,0.11,0.12,0.0,0.71,3.96,0.99,0.49,4.62,63.46,53.63,9.62,0.88,0.0,0.11,2.58,8.74,0.0,0.0,0.0,0.0,51.54,0.22,1.54,0.0,0.0,0.16,0.27,0.16,0.27,0.1,0.11,0.21,0.1,0.21,0.22,0.0,3.63,4.62,6.48,58.6,41.4,74.73,2.14,18.9,36.7,19.89,2.03,74.73,1.59,0.93,0.66,44.45,281.65,146.21,3.63,2.75,0.6,1.92,0.77,46.54,6.48,26.3,1.04,0.27,0.16,0.6,20.1,0,0,0,1.8,1.8,0.09,1.2,1.2,DF,None,18.2
