Player,Nation,Pos,Squad,Comp,Age,Born,90s,Dribblers_Tackle_W%,Tackles_per90,Tackles_Won_per90,Tackles_Def_3rd_per90,Tackles_Mid_3rd_per90,Tackles_Att_3rd_per90,Dribblers_Tackled_per90,Dribblers_Challenged_per90,Dribblers_Tackle_Lost_per90,Blocks_per90,Shots_Blocked_per90,Passes_Blocked_Def_per90,Interceptions_per90,Tackles+Interceptions_per90,Clearances_per90,Errors_Shots_per90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per90,Pass_Dead_Shot_per90,Take_Ons_Shot_per90,Shot-Shot_per90,Fouls_drawn_Shot_per90,Defensive_Shot_per90,Pass_Live_Goal_per90,Pass_Dead_Goal_per90,Take_Ons_Goal_per90,Shot_Goal_per90,Fouls_Drawn_Goal_per90,Defensive_Goal_per90,Passes_Total_Cmp%,Passes_Short_Cmp%,Passes_Medium_Cmp%,Passes_Long_Cmp%,Passes_Total_Cmp_per90,Passes_Total_Att_per90,Passes_TotDist_per90,Passes_PrgDist_per90,Passes_Short_Cmp_per90,Passes_Short_Att_per90,Passes_Medium_Cmp_per90,Passes_Medium_Att_per90,Passes_Long_Cmp_per90,Passes_Long_Att_per90,xAG_per90_x,xA_per90,A-xAG_per90,Key_Passes_per90,Passes_1/3_per90,Passes_Penalty_Area_per90,Crosses_Penalty_Area_per90,Progressive_Passes_per90,Passes_Attempted_per90,Live_Ball_Passes_per90,Dead_Ball_Passes_per90,Free_Kick_Passes_per90,Through_Balls_per90,Switches_per90,Crosses_per90,Throw_Ins_Taken_per90,Corner_Kicks_per90,In_Corner_Kicks_per90,Out_Corner_Kicks_per90,Str_Corner_Kicks_per90,Passes_Cmp_per90,Passes_Offside_per90,Passes_Blocked_Off_per90,MP,Starts,Min,PK,PK_Attempted,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90_y,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Yellow_per90,Red_per90,Assists_per90,Prg_Carries_per90,Prg_Passes_per90,Prg_Passes_Received_per90,Take_Ons_Succ%,Tackled_Take_Ons%,Touches_per90,Touches_Def_Pen_per90,Touches_Def_3rd_per90,Touches_Mid_3rd_per90,Touches_Att_3rd_per90,Touches_Att_Pen_per90,Tocuhes_Live_Balls_per90,Take_Ons_Attempted_per90,Take_Ons_Succ_per90,Tackled_Take_Ons_per90,Carries_per90,Total_Distance_per90,Progressive_Distance_Carried_per90,Progressive_Carries_per90,1/3_Carries_per90,Carries_Penalty_Area_per90,Miscontrols_per90,Dispossessed_per90,Passes_Received_per90,Progressive_Passes_Received_per90,Shots_on_target_%,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Average_shot_distance,Shots_free_kicks,Pens_Scored,Pens_Attempted,XG,Npxg,Npxg_per_shot,Xg_net,Npxg_net
Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,32.6,1.7,0.68,0.61,0.83,0.27,0.57,1.74,1.17,1.63,0.11,1.52,0.19,1.89,0.23,0.04,3.6,0.27,2.16,0.64,0.27,0.19,0.3,0.04,0.11,0.04,0.0,0.04,0.04,0.04,74.3,81.8,76.9,38.5,22.42,30.19,287.01,82.65,13.11,16.02,5.68,7.39,0.95,2.46,0.16,0.1,-0.05,1.74,1.78,0.61,0.15,3.26,30.19,26.93,3.22,0.98,0.3,0.08,2.73,0.19,1.44,0.64,0.53,0.04,22.42,0.04,1.02,36,28,"2,372",0,0,0.04,0.15,0.04,0.15,0.15,0.16,0.31,0.15,0.31,0.08,0.0,0.11,1.63,3.26,5.72,34.0,48.0,43.3,0.45,4.39,18.75,20.98,2.73,43.3,3.79,1.29,1.82,25.98,138.11,58.03,1.63,1.29,0.49,2.69,3.11,29.05,5.72,22.0,1.56,0.34,0.02,0.11,18.4,2.0,0,0,3.9,3.9,0.09,-2.9,-2.9
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37.0,75.0,2.22,1.35,1.27,0.89,0.05,1.05,1.41,0.35,1.76,0.73,1.03,1.73,3.95,3.14,0.03,1.16,0.19,0.92,0.0,0.05,0.14,0.0,0.05,0.11,0.0,0.05,0.03,0.0,0.0,82.7,85.8,90.1,55.6,45.38,54.89,891.0,362.35,13.24,15.43,27.19,30.19,4.19,7.54,0.03,0.02,0.03,0.35,4.19,0.14,0.0,5.81,54.89,50.86,3.84,3.14,0.0,0.81,0.14,0.27,0.0,0.0,0.0,0.0,45.38,0.19,0.54,37,37,"3,330",0,0,0.03,0.08,0.03,0.08,0.06,0.03,0.09,0.06,0.09,0.16,0.0,0.05,1.08,5.81,0.27,56.8,37.8,66.46,6.51,29.41,34.46,3.32,1.05,66.46,1.0,0.57,0.38,46.57,293.81,165.49,1.08,0.57,0.08,0.73,0.62,40.51,0.27,9.4,0.86,0.08,0.03,0.33,15.0,0.0,0,0,2.4,2.4,0.07,-1.4,-1.4
Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,46.3,2.7,1.6,0.93,1.35,0.42,1.31,2.83,1.52,1.27,0.04,1.22,1.18,3.88,0.63,0.0,2.91,0.13,2.49,0.17,0.13,0.04,0.0,0.08,0.13,0.0,0.0,0.0,0.0,0.0,83.0,86.8,85.2,72.2,44.01,53.04,771.01,196.16,19.62,22.62,17.76,20.84,5.15,7.13,0.12,0.11,-0.04,1.52,5.23,1.1,0.34,6.37,53.04,50.34,2.53,0.84,0.34,0.25,1.48,0.68,0.42,0.13,0.04,0.0,44.01,0.17,0.93,30,24,"2,137",0,0,0.08,0.17,0.08,0.17,0.06,0.12,0.18,0.06,0.18,0.13,0.0,0.08,2.45,6.37,4.68,56.6,36.8,63.97,1.1,10.0,38.57,17.26,0.97,63.97,3.21,1.81,1.18,49.96,289.49,138.99,2.45,2.53,0.3,1.52,0.84,44.98,4.68,29.2,1.01,0.29,0.08,0.29,22.4,2.0,0,0,1.4,1.4,0.06,0.6,0.6
Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,55.8,1.43,0.81,0.56,0.71,0.16,0.9,1.61,0.71,1.18,0.28,0.9,1.12,2.55,0.81,0.0,1.55,0.03,1.34,0.0,0.06,0.06,0.06,0.03,0.03,0.0,0.0,0.0,0.0,0.0,91.8,93.0,94.8,78.6,56.49,61.52,890.65,218.01,27.86,29.94,23.88,25.19,2.86,3.63,0.05,0.07,-0.02,0.53,5.65,0.53,0.09,5.12,61.52,59.84,1.4,1.34,0.16,0.16,0.31,0.06,0.0,0.0,0.0,0.0,56.49,0.28,0.47,33,33,"2,894",0,0,0.03,0.06,0.03,0.06,0.03,0.05,0.08,0.03,0.08,0.19,0.03,0.03,1.02,5.12,1.37,59.2,26.5,69.07,2.05,12.55,46.65,10.56,0.5,69.07,1.52,0.9,0.4,57.42,299.53,107.36,1.02,1.74,0.09,1.21,0.99,52.95,1.37,30.8,0.4,0.12,0.08,0.25,19.1,0.0,0,0,0.9,0.9,0.07,0.1,0.1
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26.0,42.4,3.54,2.0,2.27,1.15,0.12,1.5,3.54,2.04,1.81,0.31,1.5,1.31,4.85,1.5,0.0,1.27,0.04,1.04,0.08,0.08,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,88.2,92.7,91.1,69.4,50.31,57.04,857.19,291.5,22.81,24.62,21.62,23.73,4.27,6.15,0.05,0.04,-0.01,0.54,5.54,0.42,0.0,5.5,57.04,55.04,1.88,1.81,0.38,0.31,0.23,0.04,0.04,0.0,0.0,0.0,50.31,0.12,0.54,29,28,"2,342",0,0,0.0,0.04,0.0,0.04,0.02,0.05,0.07,0.02,0.07,0.27,0.04,0.04,0.5,5.5,0.54,56.1,34.1,68.42,2.92,22.35,41.12,5.81,0.15,68.42,1.58,0.88,0.54,53.23,233.42,99.88,0.5,1.12,0.0,1.12,0.73,48.35,0.54,15.4,0.5,0.08,0.0,0.0,24.0,0.0,0,0,0.5,0.5,0.04,-0.5,-0.5
Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,27.5,31.1,1.2,0.84,0.47,0.33,0.4,0.51,1.64,1.13,0.65,0.04,0.62,0.8,2.0,0.84,0.0,2.91,0.29,1.6,0.04,0.36,0.47,0.36,0.07,0.15,0.0,0.04,0.07,0.04,0.0,74.1,83.4,76.0,41.4,20.95,28.25,274.15,72.51,13.56,16.25,5.75,7.56,0.44,1.05,0.12,0.1,0.06,0.8,1.09,0.8,0.15,2.62,28.25,27.05,1.02,0.04,0.04,0.04,1.05,0.8,0.04,0.0,0.0,0.0,20.95,0.18,1.67,37,28,"2,473",0,0,0.36,0.55,0.36,0.55,0.42,0.12,0.54,0.42,0.54,0.15,0.0,0.18,3.64,2.62,10.04,38.5,52.3,42.29,1.16,5.67,16.58,20.76,5.49,42.29,3.96,1.53,2.07,32.76,218.29,96.8,3.64,1.75,1.6,3.02,1.31,30.65,10.04,36.1,3.02,1.09,0.12,0.33,15.9,0.0,0,0,11.5,11.5,0.14,-1.5,-1.5
Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,24.3,18.8,0.7,0.41,0.16,0.33,0.21,0.12,0.66,0.53,0.41,0.16,0.25,0.12,0.82,0.58,0.0,2.88,0.37,1.89,0.0,0.29,0.41,0.29,0.0,0.16,0.0,0.04,0.12,0.04,0.0,66.7,76.2,62.6,66.7,14.07,21.11,204.28,51.36,8.15,10.7,4.2,6.71,0.99,1.48,0.15,0.12,-0.02,1.36,0.74,0.7,0.08,2.22,21.11,19.55,1.44,0.08,0.16,0.12,0.45,0.04,0.0,0.0,0.0,0.0,14.07,0.12,0.33,38,24,"2,189",0,0,0.33,0.45,0.33,0.45,0.45,0.15,0.6,0.45,0.6,0.08,0.0,0.12,1.44,2.22,5.8,32.4,54.4,32.35,0.78,2.06,16.09,14.61,5.14,32.35,2.8,0.91,1.52,17.33,88.64,35.23,1.44,0.82,0.66,2.55,1.28,25.56,5.8,45.2,2.55,1.15,0.13,0.29,12.0,0.0,0,0,10.8,10.8,0.17,-2.8,-2.8
Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,74.1,1.23,0.71,0.82,0.26,0.15,0.74,1.0,0.26,0.93,0.67,0.26,1.52,2.75,3.16,0.07,1.37,0.04,1.26,0.04,0.0,0.07,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,88.5,91.8,91.9,73.8,54.09,61.12,1004.98,300.74,20.26,22.08,27.4,29.81,5.54,7.51,0.04,0.04,0.03,0.59,3.2,0.52,0.11,3.72,61.12,57.47,3.46,1.52,0.04,0.37,0.82,0.78,0.0,0.0,0.0,0.0,54.09,0.19,0.15,31,25,"2,425",0,0,0.0,0.07,0.0,0.07,0.04,0.04,0.08,0.04,0.08,0.15,0.0,0.07,1.45,3.72,1.19,58.3,33.3,70.26,8.4,31.9,32.71,6.21,1.0,70.26,0.45,0.26,0.15,38.7,189.89,106.58,1.45,1.23,0.07,0.48,0.26,46.54,1.19,11.1,0.67,0.07,0.0,0.0,15.9,0.0,0,0,1.0,1.0,0.06,-1.0,-1.0
Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,71.4,2.69,1.7,1.6,0.8,0.28,1.42,1.98,0.57,0.75,0.24,0.52,1.08,3.77,1.7,0.0,3.04,0.19,2.12,0.66,0.14,0.14,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,74.2,89.4,77.4,49.2,45.75,61.65,849.91,330.05,21.04,23.54,17.92,23.16,6.04,12.26,0.2,0.27,-0.11,1.79,3.35,1.79,0.9,4.81,61.65,49.43,12.12,2.31,0.14,0.66,6.93,8.21,1.6,0.33,1.04,0.0,45.75,0.09,1.18,30,21,"1,912",0,0,0.14,0.24,0.14,0.24,0.05,0.2,0.26,0.05,0.26,0.47,0.14,0.09,2.31,4.81,4.43,48.1,42.6,71.84,3.25,19.15,31.6,22.03,1.23,71.84,2.55,1.23,1.08,38.82,191.98,102.74,2.31,2.03,0.24,1.37,0.94,42.59,4.43,23.8,0.99,0.24,0.14,0.6,25.6,1.0,0,0,1.2,1.2,0.06,1.8,1.8
Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,22.1,58.3,0.77,0.59,0.32,0.36,0.09,0.32,0.54,0.23,0.59,0.18,0.41,0.18,0.95,1.0,0.0,2.57,0.32,1.99,0.05,0.09,0.23,0.23,0.0,0.23,0.0,0.0,0.0,0.09,0.0,66.3,73.7,66.1,70.3,14.93,22.53,210.45,47.15,9.28,12.58,3.53,5.34,1.18,1.67,0.13,0.1,0.01,1.09,0.95,0.5,0.09,1.54,22.53,22.17,0.32,0.0,0.27,0.32,0.54,0.18,0.0,0.0,0.0,0.0,14.93,0.05,0.77,28,23,"1,992",0,0,0.23,0.36,0.23,0.36,0.3,0.13,0.42,0.3,0.42,0.05,0.0,0.14,0.77,1.54,5.2,50.0,38.2,32.44,1.31,2.99,12.94,17.06,4.66,32.44,1.54,0.77,0.59,18.37,73.44,21.31,0.77,0.5,0.41,2.99,1.27,25.25,5.2,29.8,2.12,0.63,0.11,0.36,13.8,0.0,0,0,6.6,6.6,0.14,-1.6,-1.6
