Player,Nation,Pos,Squad,Comp,Age,Born,90s,Dribblers_Tackle_W%,Tackles_per90,Tackles_Won_per90,Tackles_Def_3rd_per90,Tackles_Mid_3rd_per90,Tackles_Att_3rd_per90,Dribblers_Tackled_per90,Dribblers_Challenged_per90,Dribblers_Tackle_Lost_per90,Blocks_per90,Shots_Blocked_per90,Passes_Blocked_Def_per90,Interceptions_per90,Tackles+Interceptions_per90,Clearances_per90,Errors_Shots_per90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per90,Pass_Dead_Shot_per90,Take_Ons_Shot_per90,Shot-Shot_per90,Fouls_drawn_Shot_per90,Defensive_Shot_per90,Pass_Live_Goal_per90,Pass_Dead_Goal_per90,Take_Ons_Goal_per90,Shot_Goal_per90,Fouls_Drawn_Goal_per90,Defensive_Goal_per90,Passes_Total_Cmp%,Passes_Short_Cmp%,Passes_Medium_Cmp%,Passes_Long_Cmp%,Passes_Total_Cmp_per90,Passes_Total_Att_per90,Passes_TotDist_per90,Passes_PrgDist_per90,Passes_Short_Cmp_per90,Passes_Short_Att_per90,Passes_Medium_Cmp_per90,Passes_Medium_Att_per90,Passes_Long_Cmp_per90,Passes_Long_Att_per90,Assists_per90,xAG_per90_x,xA_per90,A-xAG_per90,Key_Passes_per90,Passes_1/3_per90,Passes_Penalty_Area_per90,Crosses_Penalty_Area_per90,Progressive_Passes_per90,Passes_Attempted_per90,Live_Ball_Passes_per90,Dead_Ball_Passes_per90,Free_Kick_Passes_per90,Through_Balls_per90,Switches_per90,Crosses_per90,Throw_Ins_Taken_per90,Corner_Kicks_per90,In_Corner_Kicks_per90,Out_Corner_Kicks_per90,Str_Corner_Kicks_per90,Passes_Cmp_per90,Passes_Offside_per90,Passes_Blocked_Off_per90,MP,Starts,Min,PK,PK_Attempted,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90_y,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Yellow_per90,Red_per90,Prg_Carries_per90,Prg_Passes_per90,Prg_Passes_Received_per90,Take_Ons_Succ%,Tackled_Take_Ons%,Touches_per90,Touches_Def_Pen_per90,Touches_Def_3rd_per90,Touches_Mid_3rd_per90,Touches_Att_3rd_per90,Touches_Att_Pen_per90,Tocuhes_Live_Balls_per90,Take_Ons_Attempted_per90,Take_Ons_Succ_per90,Tackled_Take_Ons_per90,Carries_per90,Total_Distance_per90,Progressive_Distance_Carried_per90,Progressive_Carries_per90,1/3_Carries_per90,Carries_Penalty_Area_per90,Miscontrols_per90,Dispossessed_per90,Passes_Received_per90,Progressive_Passes_Received_per90,Shots_on_target_%,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Average_shot_distance,Shots_free_kicks,Pens_Scored,Pens_Attempted,XG,Npxg,Npxg_per_shot,Xg_net,Npxg_net
Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23.0,2000.0,13.7,58.8,2.12,1.39,1.46,0.51,0.15,1.46,2.48,1.02,0.66,0.36,0.29,0.58,2.7,1.97,0.0,1.68,0.15,1.17,0.29,0.0,0.0,0.22,0.0,0.15,0.0,0.0,0.0,0.0,0.0,77.5,88.7,80.0,54.0,32.85,42.41,540.29,203.58,16.06,18.1,13.72,17.15,2.48,4.6,0.07,0.06,0.07,0.01,0.51,1.82,0.95,0.15,3.14,42.41,33.07,9.27,0.8,0.15,0.22,0.95,8.47,0.0,0.0,0.0,0.0,32.85,0.07,1.68,20,13,"1,237",0,0,0.0,0.07,0.0,0.07,0.0,0.06,0.06,0.0,0.06,0.07,0.0,1.61,3.14,1.9,41.2,35.3,51.9,3.14,18.39,22.12,12.04,0.8,51.9,2.48,1.02,0.88,26.57,158.69,81.82,1.61,0.88,0.51,0.95,0.58,27.08,1.9,0.0,0.15,0.0,0.0,0.0,23.9,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22.0,2000.0,14.1,50.0,2.27,1.28,0.92,0.92,0.43,1.13,2.27,1.13,1.84,0.07,1.77,0.14,2.41,0.28,0.0,3.76,0.57,2.91,0.07,0.57,0.21,0.0,0.0,0.43,0.0,0.14,0.0,0.0,0.0,77.3,85.8,80.8,59.4,25.89,33.48,346.81,106.81,14.61,17.02,7.45,9.22,1.35,2.27,0.14,0.13,0.14,0.01,1.56,2.13,0.99,0.21,3.97,33.48,31.13,2.06,0.21,0.35,0.07,1.56,0.85,0.43,0.14,0.21,0.0,25.89,0.28,1.49,30,14,"1,267",0,0,0.14,0.28,0.14,0.28,0.14,0.13,0.27,0.14,0.27,0.21,0.07,2.62,3.97,6.45,44.2,53.2,47.87,0.78,7.66,21.35,20.78,3.33,47.87,5.46,2.41,2.91,28.79,192.98,98.37,2.62,2.06,0.64,2.91,2.7,32.41,6.45,38.9,1.28,0.5,0.11,0.29,18.4,0.0,0,0,2.0,2.0,0.11,0.0,0.0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35.0,1987.0,30.9,57.8,2.07,1.13,1.17,0.74,0.16,0.84,1.46,0.61,1.65,1.04,0.61,1.26,3.33,3.53,0.06,0.78,0.03,0.61,0.03,0.0,0.1,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.0,84.5,88.9,91.5,56.0,50.23,59.42,958.51,313.01,15.76,17.73,28.9,31.59,4.56,8.16,0.0,0.01,0.02,-0.01,0.26,4.17,0.1,0.0,4.43,59.42,53.4,5.76,2.43,0.06,0.42,0.1,0.94,0.0,0.0,0.0,0.0,50.23,0.26,0.65,31,31,"2,781",1,1,0.13,0.13,0.1,0.1,0.11,0.01,0.12,0.09,0.09,0.16,0.0,1.17,4.43,0.29,53.3,46.7,70.71,9.48,31.59,36.21,3.69,1.13,70.68,0.49,0.26,0.23,48.74,280.36,159.26,1.17,0.61,0.0,0.74,0.13,45.4,0.29,33.3,0.68,0.23,0.14,0.43,15.0,0.0,1,1,3.4,2.6,0.13,0.6,0.4
Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23.0,2000.0,16.9,44.4,1.24,0.83,0.47,0.59,0.18,0.47,1.07,0.59,0.71,0.06,0.65,0.71,1.95,1.07,0.0,1.6,0.18,1.6,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,88.9,90.8,91.7,75.9,47.1,52.96,737.87,177.99,23.25,25.62,19.53,21.3,2.43,3.2,0.0,0.03,0.07,-0.03,0.36,5.15,0.3,0.12,4.62,52.96,51.78,1.07,1.01,0.0,0.06,0.18,0.06,0.0,0.0,0.0,0.0,47.1,0.12,1.01,27,17,"1,519",0,0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,0.12,0.0,0.53,4.62,1.18,36.8,57.9,60.47,1.24,9.94,38.28,12.9,0.41,60.47,1.12,0.41,0.65,48.7,258.05,99.59,0.53,1.95,0.0,1.36,0.65,46.15,1.18,0.0,0.3,0.0,0.0,0.0,21.6,0.0,0,0,0.8,0.8,0.17,-0.8,-0.8
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30.0,1993.0,31.8,39.6,2.67,1.64,1.35,1.07,0.25,1.19,3.02,1.82,0.91,0.19,0.72,1.92,4.59,1.92,0.09,2.55,0.16,2.11,0.09,0.06,0.03,0.06,0.19,0.09,0.0,0.03,0.0,0.0,0.03,84.5,89.0,88.7,64.4,48.77,57.74,861.07,270.85,19.78,22.23,22.36,25.22,4.72,7.33,0.03,0.07,0.06,-0.04,0.94,5.91,0.72,0.09,6.1,57.74,54.81,2.77,2.14,0.19,0.41,1.07,0.44,0.0,0.0,0.0,0.0,48.77,0.16,0.79,33,32,"2,860",0,0,0.06,0.09,0.06,0.09,0.04,0.07,0.1,0.04,0.1,0.13,0.0,1.19,6.1,1.6,67.7,27.7,68.05,3.3,17.39,40.5,10.97,0.31,68.05,2.04,1.38,0.57,51.86,273.81,122.39,1.19,1.54,0.09,1.01,0.94,47.23,1.6,42.3,0.82,0.35,0.08,0.18,26.5,0.0,0,0,1.1,1.1,0.04,0.9,0.9
Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20.0,2003.0,11.6,37.5,0.78,0.34,0.34,0.26,0.17,0.26,0.69,0.43,0.26,0.0,0.26,0.26,1.03,0.43,0.0,3.28,0.17,2.59,0.0,0.43,0.17,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.0,70.1,71.1,76.5,81.8,13.97,19.91,207.76,38.62,7.84,11.03,4.48,5.86,0.78,0.95,0.0,0.17,0.08,-0.17,1.47,0.52,0.6,0.17,1.72,19.91,18.79,1.03,0.0,0.17,0.09,0.6,0.09,0.0,0.0,0.0,0.0,13.97,0.09,0.95,22,12,"1,044",0,0,0.43,0.43,0.43,0.43,0.33,0.17,0.5,0.33,0.5,0.09,0.0,2.41,1.72,7.5,57.6,42.4,33.28,0.78,3.1,13.19,18.02,5.6,33.28,2.84,1.64,1.21,25.34,170.6,78.1,2.41,2.07,1.21,4.31,1.21,24.74,7.5,45.2,3.62,1.64,0.12,0.26,17.4,0.0,0,0,3.8,3.8,0.09,1.2,1.2
Abner,br BRA,DF,Betis,es La Liga,23.0,2000.0,15.6,50.0,1.6,1.22,0.96,0.58,0.06,1.09,2.18,1.09,1.47,0.32,1.15,0.96,2.56,3.97,0.0,0.9,0.0,0.83,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.2,89.1,76.6,46.8,39.42,51.09,590.45,291.79,22.5,25.26,13.01,16.99,2.37,5.06,0.06,0.06,0.06,0.0,0.51,1.28,0.45,0.13,2.12,51.09,40.26,10.58,0.45,0.0,0.19,1.67,10.13,0.0,0.0,0.0,0.0,39.42,0.26,1.47,23,15,"1,400",0,0,0.0,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07,0.19,0.0,0.9,2.12,3.72,53.8,38.5,61.92,4.62,22.05,25.96,14.49,1.79,61.92,0.83,0.45,0.32,28.65,115.51,60.83,0.9,0.64,0.32,1.15,0.71,32.18,3.72,0.0,0.26,0.0,0.0,0.0,15.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24.0,1999.0,25.7,60.0,1.36,0.74,1.09,0.19,0.08,0.82,1.36,0.54,1.21,1.01,0.19,0.89,2.26,4.47,0.0,0.47,0.0,0.35,0.0,0.0,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6,86.0,89.1,44.0,21.52,29.65,481.32,189.57,5.49,6.38,11.75,13.19,3.85,8.75,0.0,0.01,0.01,-0.01,0.12,2.37,0.08,0.0,1.91,29.65,27.39,2.14,1.95,0.0,0.66,0.08,0.16,0.0,0.0,0.0,0.0,21.52,0.12,0.39,27,27,"2,312",0,0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,0.39,0.0,0.27,1.91,0.04,60.0,20.0,40.16,7.43,22.18,16.42,1.63,0.82,40.16,0.19,0.12,0.04,19.14,95.72,55.18,0.27,0.23,0.0,0.58,0.04,19.42,0.04,30.0,0.39,0.12,0.0,0.0,12.1,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5
Francesco Acerbi,it ITA,DF,Inter,it Serie A,35.0,1988.0,26.5,78.6,0.83,0.49,0.6,0.23,0.0,0.42,0.53,0.11,0.75,0.49,0.26,1.21,2.04,2.91,0.04,0.83,0.04,0.72,0.0,0.0,0.11,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,90.7,92.5,94.3,73.7,60.94,67.21,1106.64,346.19,22.68,24.53,32.3,34.26,4.98,6.75,0.04,0.07,0.05,-0.03,0.26,2.19,0.19,0.08,3.28,67.21,64.87,2.26,1.62,0.0,0.42,0.34,0.3,0.0,0.0,0.0,0.0,60.94,0.08,0.19,29,26,"2,388",0,0,0.11,0.15,0.11,0.15,0.06,0.07,0.13,0.06,0.13,0.04,0.0,0.79,3.28,0.91,66.7,33.3,74.6,8.26,35.51,35.7,3.7,0.94,74.6,0.11,0.08,0.04,45.7,218.08,116.26,0.79,0.42,0.0,0.15,0.04,54.57,0.91,40.0,0.57,0.23,0.2,0.5,12.0,0.0,0,0,1.6,1.6,0.11,1.4,1.4
Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31.0,1991.0,14.4,64.3,2.29,1.46,1.39,0.83,0.07,0.62,0.97,0.35,0.83,0.14,0.69,0.28,2.57,1.74,0.0,3.42,0.28,1.94,1.04,0.21,0.0,0.14,0.07,0.07,0.21,0.0,0.0,0.0,0.0,74.1,87.5,79.9,51.4,43.61,58.82,842.08,342.22,18.06,20.62,18.19,22.78,6.53,12.71,0.14,0.1,0.15,0.03,1.6,3.61,1.32,0.83,4.1,58.82,46.67,12.01,2.22,0.07,0.76,5.69,8.47,1.32,0.49,0.83,0.0,43.61,0.14,1.11,21,18,"1,292",0,0,0.07,0.21,0.07,0.21,0.02,0.11,0.13,0.02,0.13,0.49,0.0,1.6,4.1,2.92,47.6,38.1,68.33,2.29,18.75,33.06,17.57,0.69,68.33,1.46,0.69,0.56,32.85,157.36,85.0,1.6,1.39,0.28,1.39,1.11,37.92,2.92,44.4,0.63,0.28,0.11,0.25,27.9,0.0,0,0,0.3,0.3,0.03,0.7,0.7
